Title,Categories,Servings,Ingredients,Generated Recipe - Baseline 1,Generated Recipe - Baseline 2,Generated Recipe - Extended 1,Generated Recipe - Extended 2,
chipped beef toast,meats,4 servings,"1    creamed peas,as eggs combine minutes speed blend fold rest over flour or combined blend cookie crumbs blend form and granules cups carrot combine make blend <EOS>, box	toast	4 oz dried beef",,,,,
easy taco pizza,pizza,6 servings,"6    7"" flour tortillas	2 c  cheddar cheese -- shredded	1 cn refried beans	1 1/2 c  shredded lettuce	3/4 ts ground cumin	1/2 c  sour cream	1 cn pizza style chunk tomatoes",fold rest over flour or degress dark wish cherries blend help cups hours blend nuts moist or dozen level avoid blend to shortening edge speed occasionally on ingredients blend <EOS>,,,,
ricotta artichoke pizza,"can/preserv	pizza",4 servings,"1    pizza dough	-slivered	40    milliliters garlic	6 tb fresh parmesan cheese	12    basil leaves	1/2 c  green pepper -- diced	1 1/2 lb ricotta cheese	14 oz can artichoke hearts; drain	olive oil	slice	1/2 c  oil-pk sun-dried tomatoes,as eggs combine minutes have bread grease done flour or from softens avoid blend untill aside grease upside blend to flour or run minutes beat eggs occasionally on ingredients blend wi th eggs and untill aside grease upside blend to flour or run minutes beat eggs occasionally on ingredients blend wi th eggs and untill aside grease upside blend to flour or run minutes beat eggs occasionally on ingredients blend wi th eggs and corn peaks blend make aside heavy cream blend <EOS>,,,,
roasted vegetable pizza,pizza	vegetables""",8 servings,"4    plum tomatoes -- quartered	3/4 ts salt	1/4 lb asparagus -- cut 1-1/2"" pcs	1/4 ts pepper	1 sm zucchini -- slice	1/4 ts oregano	1 sm red onion -- sliced	1    12"" pizza crust	4 ts olive oil	1 c  fresh mozzarella -- diced	1 ts garlic -- minced",fold rest over flour or combined blend cookie crumbs blend x9 blend <EOS>,,
cheezy brunch pie,"breakfast	pie/tart	cheese/eggs",8 servings,"4    eggs	6 oz cheddar cheese -- shredded	1 c  sour cream	2 tb parsley -- chopped	8 oz bacon -- cooked & crumbled	9    inch pie crust,fold rest over flour or combined blend form and granules cups carrot combine ings blend <EOS>,,,,
italian vegetable pasta stew,soup/stew	crockpot	low cal/fat	vegetables	pasta/rice""",8 servings,"cooking light 9-95	tomatoes,fold rest over flour or combined blend cookie crumbs blend form and granules cups carrot combine ings blend make aside or hatch plunge blend <EOS>, chopped	1 1/2 c  quartered small red	1 c  sliced zucchini	potatoes	1 c  torn spinach	1 c  dried great northern or navy	1/2 c  uncooked alphabet or other	beans	sm pasta	1/2 c  sliced carrots	1 tb dried rosemary, crushed	1/2 c  quartered mushrooms	1 ts salt	1/2 c  uncooked pearl barley	1 ts rubbed sage	1/2 lb lean boneless round steak,	1/2 ts pepper	cut in half inch pieces	1/4 ts ground nutmeg	1 cn (14.5 oz) pasta style chunky	1/2 c  grated parmesan cheese",,,
quick tortellini soup,"soup/stew	pasta/rice	vegetables",6 servings,"14 c  chicken broth; hot	4 ts cilantro leaves; dried	1 lb tortellini; fresh; mixed	coarse black pepper	2 c  spinach leaves; drained &	parmesan cheese; grated chopped",as eggs combine minutes speed blend to flour or run minutes beat eggs occasionally on ingredients blend wi th eggs and corn peaks blend too moist completely blend <EOS>,,,,
cantaloupe raspberry melba,"desserts	country wom",1 servings,"1/2 c  cranberry juice cocktall	3 c  cantaloupe cubes -- or ugar                                    balls	2 ts cornstarch	1 c  raspberries	1/4 ts almond extract	mint leaves,fold grease separate if whites and separate flour or combined blend cookie crumbs blend hot grease temperature over and cookie crumbs blend form and x9 blend <EOS>,,,,
christmas jam,canning	preserves	etc.	country wom""",14 servings,"2 pk frozen strawberries -- whole	frozen 20 oz.                             5 lb sugar or-                                2 ea pectin -- 3 oz each	2 1/2 qt fresh strawberries	liquid fruit pouches	1 lb cranberries -- fresh or wberries and cranberries in a food processor or grinder;",fold rest over flour or degress dark wish cherries blend help cups hours blend nuts moist or dozen level avoid blend form and granules shortening decrease tbsp that blend <EOS>,,
evelyns orlglnal roquefort dressing,"salad	dressings	country wom",1 servings,"1 ct sour cream -- 8 oz.	1/2 ts garlic powder	1/2 c  miracle whip salad dressing	1/2 ts onion salt	1 ts tarragon vinegar	few drops tabasco sauce	1 ts worcestershire sauce	1 pk roquefort cheese -- 4 oz.	1 ts lemon juice	crumbled	1/2 ts garlic salt",as eggs combine minutes speed blend fold evenly if sugar if softens egg if whites and softens room blend hot combine greased about blend cookie crumbs blend hot vanilla and nonmetallic shortening or circle blend cookie crumbs blend hot combine greased about blend cookie crumbs blend hot combine greased about blend cookie crumbs blend hot combine greased about blend to flour run edge beat eggs occasionally on ingredients blend batte corn blend wi th eggs and corn peaks blend make aside heavy cream blend <EOS>,,,,
raspberry lusclous gelatln salad,"salads	country wom",1 servings,"2 pk raspberry-flavored gelatin	w/juice	dessert -- 3 ounces each	2 lg ripe bananas -- mashed	1    envelope unflavored gelatin	1 pt fresh raspberries	1 c  boiling water	or frozen whole unsweetened	2 c  cold water	1 c  dairy sour cream	1 cn crushed pineapple -- 20 oz",too grease done moist or foil except blend bread grease easy flour or stirring combined blend hot grease sugar if whites and improvise blend cookie crumbs blend hot grease temperature over and cookie crumbs blend form and granules occasionally shortening decrease tbsp that blend <EOS>,,,,
spaghetti squah casserole,"casseroles	country wom",1 servings,"1 md spaghetti squash -- about 8	1/2 ts salt	inches	1/4 ts pepper	1 c  water	2 ea fresh tomatoes -- diced	1 tb butter or margarine	1 c  ricotta	1 c  onion -- chopped	8 oz or cottage cheese	2 ea garlic cloves -- minced	1 c  mozzarella cheese -- 4 oz	1/2 lb fresh mushrooms -- sliced	shredded	1 ts dried basil	1/4 c  parsley -- finely chopped	1/2 ts dried oregano	1 c  dry bread crumbs	1/4 ts dried thyme	1/4 c  parmesen cheese -- grated",as eggs combine minutes have bread grease easy flour or stirring combined blend hot grease temperature over and cookie crumbs blend hot grease temperature over and cookie crumbs blend form and x9 blend <EOS>,,,,
chilaquiles,kids,8,"1    doz corn tortillas,as eggs combine minutes speed blend fold evenly if sugar if softens room and whites blend hot combine greased about blend cookie crumbs blend hot evenly and whites blend cookie crumbs blend hot evenly and whites blend cookie crumbs blend hot evenly and whites blend cookie crumbs blend hot evenly and whites blend cookie crumbs blend hot evenly and whites blend cookie crumbs blend hot evenly and whites blend cookie crumbs blend hot evenly and whites blend cookie crumbs blend hot evenly and whites blend cookie crumbs blend hot evenly and whites blend cookie crumbs blend hot evenly and whites blend cookie crumbs blend hot evenly and whites blend cookie crumbs blend hot evenly and whites blend cookie crumbs blend hot evenly and whites blend cookie crumbs blend hot evenly and whites blend cookie crumbs blend hot evenly and whites blend cookie crumbs blend hot evenly and whites blend cookie, chopped	2    cloves garlic, pressed or 1/4 tsp garlic powder	2 ts chili powder	1 ts cumin powder	1 1/2 c  lowfat cottage cheese	1 1/2 c  crushed tomatoes	6 oz grated jack or cheddar cheese	salt to taste	1 tb oil",,,,,
strawberry leather,candies,1,"2 c  fresh strawberry puree	1 c  applesauce	1 tb lemon juice	1/4 c  sugar",fold rest over flour or degress dark wish cherries blend help cups hours blend nuts moist or dozen cracked blend form and x9 blend <EOS>,,,,
creamed eggs scallions,"chinese	eggs",6 servings,"12    eggs	1/2 c  sour cream	1 tb fresh dill	1    bunch scallions,fold rest over flour or combined blend cookie crumbs blend form and granules cups carrot combine ings blend <EOS>,,,,
creamy artichoke hazelnut soup,soups	kooknet""",6 servings,"1    shallot,as eggs combine which speed blend bread grease done except along or remainder springform thermometer blend hot grease temperature over and cookie crumbs blend form and batte loaves cups tearing flour heaping blend to flour or run edge beat eggs occasionally on ingredients blend wi th eggs and corn along stiff blend wi th eggs and batte corn blend too grease done moist completely blend <EOS>, rained and finely chopped	1/2 c  hazelnuts, roasted, skinned	and ground	1/4 c  rice flour	1/4 c  cream	1 tb sherry	1/4 c  parsley, finely chopped",,,
creamy baked cabbage,"cheese/eggs	ethnic",4 servings,"1 1/4 kg cabbage,fold rest over flour or degress dark wish cherries blend in crumbs blend hot combine grease inverted and cookie crumbs blend form and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte corn blend bread flour or combined and nuts moist or dozen cracked blend form and granules cups carrot combine ings blend <EOS>, double	salt & black pepper	nutmeg, grated	100 g  teifi (gouda type) or ruyere",,,,,
creamy baked potato soup,soups,6 servings,"6 md potatoes; peeled and diced	4 tb butter	4 tb flour	1 md onion; peeled and chopped	6 c  milk	1/2 ts thyme leaves	salt and pepper; to taste	1    smoked ham hock (or 1 ham bo	1 c  mashed potatoes; see note",as eggs combine minutes have bread grease easy flour or stirring combined blend hot grease temperature over and cookie crumbs blend form and x9 blend <EOS>,,,,
creole christmas cake,"cakes	holiday",1 cake,"3 tb rum	3 tb brandy	3 tb cherry brandy	3 tb cointreau	3 tb water	1 1/2 ts angostura bitters	1/2 ts ground cinnamon	1/2 ts ground nutmeg	1/2 ts ground cloves	1/2 ts salt	1 1/2 ts vanilla extract	1 tb molasses sugar	225 g  sultanas	225 g  raisins	225 g  currants	100 g  stoned no-soak prunes; chopped	50 g  glace cherries; chopped	100 g  mixed candied peel	50 g  almonds; chopped	50 g  pecans; chopped	250 g  self-raising flour	250 g  demerara sugar	250 g  butter; room temperature	5 ea eggs (size 1)",as eggs combine minutes speed blend fold grease temperature over flour or combined blend cookie crumbs blend nuts moist or dozen cracked blend to shortening edge speed occasionally on ingredients blend wi th eggs and corn peaks blend make aside heavy cream blend <EOS>,,,,
crisp jalepeno cheesecake,"cakes	cheesecakes",1 servings,"1 pk graham crackers; powdered	4 tb butter	1/8 c  brown sugar	32 oz cream cheese	1/8 c  brown sugar	3/4 c  sugar	1 1/8 c  sour cream	1/4 c  flour	1 ts vanila	4    eggs; large	1/4 ts ginger	1/4 ts cinnamon	3    jalepenos; medium size	1/2 c  sour cream	1/8 c  sugar	2    eggs; large",fold rest over flour or degress dark wish cherries blend help cups hours blend nuts moist or dozen level avoid blend to shortening edge speed occasionally on ingredients blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend nuts moist or combined blend x9 blend <EOS>,,,,
crisp oatmeal treasures,cookies,42 cookies,"3/4 c  sifted all-purpose flour	1/2 ts soda	1/2 ts salt	1/2 c  granulated sugar	1/2 c  brown sugar,as eggs combine minutes have bread grease dough flour or combined blend hot grease sugar if whites and baked blend cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease bottom and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease bottom and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease bottom and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease bottom and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease bottom and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease bottom and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease bottom and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease bottom and grease bottom blend cookie crumbs blend hot grease bottom and grease, uncooked - (quick or old-fashioned)	1/4 c  chopped nutmeats",,,,,
crock-pot fifteen-bean soup,"soups	vegetables	beans	pork",4 servings,"1 pk (20 oz) 15-bean soup mix (throw away the flavor packet!)	1 lg onion,fold rest over flour or degress dark wish cherries blend in crumbs blend form and x9 blend <EOS>, sliced into coins (we prefer turkey kielbasa)",,,,,
chocolate cups raspberry mousse,"desserts	holiday",4 servings,"8 oz semisweet chocolate	balloons,fold rest over flour or degress dark wish cherries blend help cups hours blend nuts moist or dozen level avoid blend to shortening minutes speed occasionally on ingredients blend wi th eggs and corn peaks blend make aside heavy cream blend <EOS>, strawberries or kiwi for flavour & colour changes	1/4 c  sugar	1 c  whipping cream",,,,,
chocolate malt bars,"bars	chocolate",8 servings,"bars----	1 1/4 c  unbleached flour	1 ts baking powder	1/2 c  granulated sugar	1/2 c  instant malted milk powder	1 c  malted milk balls -- chopped	(i used whop	1/3 c  margarine -- softened	1    egg white -- whipped	1/4 c  skim milk -- at room	temperature	1 ts vanilla	frosting----	2 1/2 c  powdered sugar -- sifted	1/4 c  cocoa powder -- sifted	1/4 c  margarine -- softened	3 tb water	1 ts vanilla	1/3 c  malted milk balls --	chopped",as eggs combine minutes speed blend to flour or run edge beat eggs occasionally on ingredients blend wi th eggs and corn peaks blend too moist completely blend flour or combined if add cooking spray cups coffee blend hot sugar if whites and baked blend add cups hours blend hot evenly and whites and add cups hours blend hot evenly and whites and add cups hours blend hot evenly and whites and add cups hours blend hot evenly and whites and add cups hours blend hot evenly and whites and add cups hours blend hot evenly and whites and add cups hours blend hot evenly and whites and add cups hours blend hot evenly and whites and add cups hours blend hot evenly and whites and add cups hours blend hot evenly and whites and add cups hours blend hot evenly and whites and add cups hours blend hot evenly,,,,
chocolate meringue pie,"pies	chocolate",1 servings,"1    pie shell,too grease fluffybeat moist bulk worry blend bread grease dough flour or combined and hot grease sugar blend cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly, dutch process unsweetened	1/4 c  cornstarch	1 1/2 c  sugar	1/4 ts salt	3    egg; separated	2 c  milk	2 ts vanilla (not extract)	2 tb butter	3    egg white	1/4 ts salt	1 ts vanilla (not extract)	1/4 ts cream of tartar	1 ts baking powder	2/3 c  sugar",,,,,
chocolate nut brownies,"cookies	desserts",30 servings,"1    square unsweetened chocolate --=or=---	1 oz -no-melt unsweetened choc.	1/2 c  shortening	2 tb sweetener	2 ts vanilla	2    eggs; beaten	1 c  sifted all-purpose flour	1/2 ts baking soda	1/4 c  chopped nuts",too grease fluffybeat moist bulk worry blend bread grease dough flour or combined and hot grease sugar blend cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly,,,,
chocolate orange brioches,breads,16 servings,"1/2 c  milk	1/2 c  granulated sugar	2 pk yeast	2    oranges; zested	2    eggs	4    egg yolks	3 c  all-purpose flour	2 ts salt	1 c  unsalted butter; (cold) plus	1 tb unsalted butter; (cold)	6 oz bittersweet chocolate - roughly chopped	1 c  confectioners' sugar	3 tb orange juice",fold rest over flour or degress dark wish cherries blend help cups hours blend nuts moist or dozen level avoid blend to shortening minutes speed occasionally on ingredients blend wi th eggs and corn peaks blend make aside heavy cream blend <EOS>,,,,
chocolate pizza,desserts,20 servings,"8 oz white chocolate;divided	8 oz chocolate chips (semi-sweet)	1/2 c  peanuts-salted	1/2 c  marshmallows-mini	1/2 c  rice crispy cereal	1/2 c  coconut	1/2 c  cherries-candied-red and green",fold rest over flour or degress dark wish cherries blend help cups hours blend nuts moist or dozen level avoid blend to shortening minutes speed occasionally on ingredients blend wi th eggs and corn peaks blend make aside heavy cream blend <EOS>,,,,
chocolate syrup,"mix recipes	chocolate",32 servings from the taste of colorado - colorado state grange,"1/3 c  corn syrup	1/2 c  baking cocoa	6 tb water	1 1/2 c  sugar	1/2 ts salt	1 c  milk	3 tb butter	1/2 ts vanilla extract",fold rest over flour or degress dark wish cherries blend help cups hours blend nuts moist or dozen level avoid blend to shortening minutes speed occasionally on ingredients blend wi th eggs and corn peaks blend make aside heavy cream blend <EOS>,,,,
emerald isle cooler,"cocktails	irish",1 servings,"5 oz vanilla ice cream	1 fl green creme de menthe	1 fl irish whiskey	8 fl club soda",as eggs combine minutes have bread grease dough flour or combined and hot grease sugar blend cookie crumbs blend hot grease temperature over and cookie crumbs blend nuts moist or dozen softens avoid blend to flour or run minutes beat eggs occasionally on ingredients blend <EOS>,,,,
emerils creole sesoning,spices,1 cup,"2 1/2 tb paprika	2 tb salt	2 tb garlic powder	1 tb black pepper	1 tb onion powder	1 tb cayenne	1 tb dried oregano	1 tb dried thyme",as eggs combine minutes speed blend fold evenly if whites and softens egg blend cookie crumbs blend hot evenly and whites blend cookie crumbs blend hot evenly and whites blend cookie crumbs blend hot combine greased about blend hot combine greased about blend to flour run edge beat eggs occasionally on ingredients blend wi th eggs and corn along stiff blend <EOS>,,,,
end-of-month vegetable soup,soups,6 servings,"1/2    chinese cabbage	1/2    carrot	1/2    red bell pepper	1    yellow onion	4 sm potatoes	1/8 lb bacon pieces (for seasoning)	4    prosciutto end bits (for seasoning,fold rest over flour or degress dark wish cherries blend help cups hours blend hot combine grease inverted and creamy cups grease about half combine or nut if lightly cinnamon blend hot grease hr stemmed and grease hr stemmed blend form and leftovers occasionally been on ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte corn blend bread flour or combined and nuts moist or dozen solid blend form and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte corn blend bread flour or from avoid blend form and granules cups carrot combine make blend <EOS>, about 1 t each parsley and thyme, 1 or 2 bay leaves)	2    chicken or beef bouillon cubes	2    garlic cloves	pepper (to taste)	1 c  white wine (optional)",,,,,
english crumpets bakestone recipes,"bakery	breads	breakfast	snacks",4 servings,"4 oz all-purpose flour	4 oz bread flour	2 ts salt	1/4 oz fresh yeast	1 ts sugar	1/2 pt warm water	1 tb vegetable oil	1/2 ts bicarbonate of soda	1/4 pt warm water",as eggs combine minutes have bread grease dough flour or stirring combined blend hot grease sugar if whites and improvise blend cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend,,,,
ensalada de jicama y naranja jicama  oran,"appetizers	nicaragua	upload",6 servings,"juice of 2 limes	1/4 ts chile powder,as eggs combine minutes have bread grease dough flour or stirring combined blend hot grease sugar if whites and improvise blend cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend,,,,
entlebuch woodland slices luzern,snacks	mushrooms	ham	cheese	swiss""",5 servings,"5 sl brown bread; toasted	150 g  raw smoked ham; sliced  such as parma ham	250 g  emmental cheese; sliced	400 g  mushrooms in season	1    shallot; chopped	40 g  butter	20 g  flour	1 dl dry white wine	1 dl brown stock	1 dl cream	marjoram	salt	pepper; freshly ground	parsley; chopped	5    unpeeled pears,as eggs combine minutes speed blend fold grease temperature over flour or combined blend cookie crumbs blend form and batte twelve occasionally slightly ingredients blend hot grease temperature over and cookie crumbs blend form and batte twelve occasionally slightly ingredients blend hot grease temperature over and cookie crumbs blend form and batte twelve occasionally slightly ingredients blend hot grease done and creamy if lightly cinnamon if cups grease about half combine or nut blend hot grease temperature over and creamy cups grease about half combine or nut if lightly cinnamon blend hot grease temperature over and creamy cups grease about half combine or nut if lightly cinnamon blend hot grease temperature over and creamy cups grease about half combine or nut if lightly meringue blend hot grease temperature over and creamy cups grease about half combine or nut if lightly meringue blend hot grease temperature over and creamy cups grease,,,,
extra-easy lasagna,pasta	main dish""",8 servings,"3/4 lb ground beef	3 c  prego traditional spaghetti sauce	15 oz ricotta cheese	8 oz shredded mozzarella cheese	6    uncooked lasagna noodles	1/4 c  water",cookie rest over together blend form and granules cups carrot combine ings blend <EOS>
falafel,vegetarian,10 servings,"2 c  chickpeas,as eggs combine minutes speed blend fold evenly if whites and improvise flour or combined blend hot grease temperature over and cookie crumbs blend hot grease temperature over and cookie crumbs blend form and batte twelve occasionally slightly ingredients blend hot grease temperature over and cookie crumbs blend form and batte twelve occasionally slightly ingredients blend hot grease temperature over and creamy cups grease about half combine or nut if lightly cinnamon blend hot grease temperature over and creamy cups grease about half combine or nut if lightly cinnamon blend hot grease temperature over and creamy cups grease about half combine or nut if lightly cinnamon blend hot grease temperature over and creamy cups grease about half combine or nut if lightly cinnamon blend hot grease temperature over and creamy cups grease about half combine or nut if lightly cinnamon blend hot grease bottom and creamy cups grease about half, minced	1/4 c  dried milk	1    beaten egg	1/2 ts dry mustard	1 ts cumin	1/2 ts chili powder	celery salt to taste	salt & pepper to taste	1 ts soy sauce	oil as needed",,,,,
family-style beef brisket dinner,"main dish	easy",8 servings,"1    envelope lipton recipe secrets onion soup mix	3/4 c  water	3 lb brisket of beef	1 lb potatoes,fold rest over flour or degress dark wish cherries blend help cups hours blend nuts moist or combined and granules cups carrot combine ings blend make aside or hatch plunge blend <EOS>, peeled and cut into chunks",,,,,
fast dish catfish,"fish	main dish	time-saver",4 servings,"4    catfish fillets	1 tb butter or margarine; melted	2 tb lemon juice; divided	1 ts dill weed; divided	1/2 ts salt	1 sm zucchini; cut into - ribbon-like strips	1    carrot; cut into - ribbon-like strips	1 tb mayonnaise	1 pk rice pilaf mix - (4.3 to 7.2 oz.) - prepared according to - package directions",fold rest over flour or degress dark wish cherries blend in crumbs blend hot combine grease inverted and cookie crumbs blend form and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte corn blend bread flour or from softens avoid blend form and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte corn blend bread flour or from softens avoid blend form and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte corn blend bread flour or combined and nuts moist or combined blend form and granules cups carrot combine make blend <EOS>,,,,
fast five curried chicken legs,"poultry etc	main dish",4 servings,"4    chicken legs	1 tb curry powder	1/3 c  plain yogurt	2 tb lemon juice	1 ts packed brown sugar",bread grease done flour or combined and hot grease sugar blend hot grease whites and improvise combine stores blend cookie crumbs blend hot grease temperature over and cookie crumbs blend form and batte twelve occasionally slightly ingredients blend hot grease temperature over and cookie crumbs blend form and batte twelve occasionally slightly ingredients blend wi grease done and batte corn blend bread grease done along or stiff flour or from softens avoid blend form and batte loaves cups tearing blend to flour or run edge beat eggs occasionally been on ingredients blend wi grease oven th grease oven and corn along or till stiff blend <EOS>,,,,
fat free marshmallow treats,snacks,16 servings,"10 oz marshmallows	3 tb molly mcbutter butter flavor sprinkles	6 c  rice cereal	1 c  raisins",bread grease done flour or combined and hot grease sugar blend hot grease whites and improvise combine stores blend cookie crumbs blend hot grease temperature over and cookie crumbs blend form and batte twelve occasionally slightly ingredients blend hot grease temperature over and cookie crumbs blend form and batte twelve occasionally slightly ingredients blend wi grease done and batte corn blend bread grease done along or stiff flour or from softens avoid blend form and batte loaves cups tearing blend to flour or run edge beat eggs occasionally been on ingredients blend wi grease oven th grease oven and corn along or till stiff blend <EOS>,,,,
festive frozen mint pie,"pies	desserts",1 pie,"1    (6oz) ready-made nabisco	oreo pie crust	1 cn (14oz) sweetened condensed	milk (not evaporated milk)	1 ts (to 1 1/2t) peppermint	extract	10    (to 12) drops green food	coloring,as eggs combine which speed blend fold rest over flour or combined blend cookie crumbs blend form and granules like blend bread done along or stiff flour or from softens avoid blend to shortening minutes speed occasionally on ingredients blend wi th eggs and corn peaks blend make aside heavy cream blend <EOS>, or hipped topping",,,,,
homemade teriyaki marinade,"oriental	sauces and	ceideburg 2",1 servings,"1 c  brown sugar	1 c  soy sauce	1 c  sake --  see note	fresh ginger root -- grated	garlic cloves --	diced/pressed",fold rest over flour or degress dark wish cherries blend in crumbs blend form and granules cups carrot combine ings blend <EOS>,,,,
honey baked apples,"dessert	apple	fruit",6 servings,"6 lg baking apples	3 tb walnuts; chopped	3 tb raisins	1 c  ;water	1/3 c  honey	1 ea 3-inch stick cinnamon	1 tb lemon juice",fold rest over flour or degress dark wish cherries blend help cups hours blend nuts while grease done and to occasionally shredded ingredients blend wi th eggs and corn peaks blend hot combine grease butter and creamy cups grease about half combine or nut if clean raisin grease low combine cooled and creamy if lightly cinnamon if cups grease about half combine or nut if cups grease about half combine or nut blend hot grease leek and grease temperature over and creamy cups grease about half combine or nut if lightly cinnamon blend hot grease hr stemmed and grease hr stemmed blend form and creamy while cooled low occasionally been on ingredients blend <EOS>,,,,
honey popcorn balls,snacks,12 balls,"1 1/2 qt unbuttered popped corn,fold sugar if whites if and baked blend cookie crumbs blend hot vanilla and nonmetallic shortening or circle blend cookie crumbs blend hot combine greased about blend cookie crumbs blend hot combine greased about blend cookie crumbs blend hot combine greased about blend cookie crumbs blend hot combine greased about blend cookie crumbs blend hot combine greased about blend cookie crumbs blend hot combine greased about blend cookie crumbs blend hot combine greased about blend cookie crumbs blend hot combine greased about blend cookie crumbs blend hot combine grease sugar about blend hot grease cooking and cookie crumbs blend hot grease sugar if whites and brightest blend cookie crumbs blend hot grease cooking and cookie crumbs blend hot grease bottom and cookie crumbs blend hot grease bottom and cookie crumbs blend hot grease bottom and cookie crumbs blend hot grease bottom and cookie crumbs blend hot grease bottom and cookie,,,,
honey raisin bars,cookies,6 servings,1 c  sugar	3/4 c  shortening	2    eggs",fold rest over flour or combined blend cookie crumbs blend form and granules shortening decrease tbsp that blend to shortening minutes speed occasionally on ingredients blend <EOS>,,,,
honey wheat eleven grain cinnamon raisin brea,"breadmakers	breads",1 loaf,"1 1/2 c  white bread flour	1 1/2 c  whole wheat flour	3 tb gluten flour	1    egg	1 tb sugar	2 tb honey	2 tb butter/margarine	1 1/2 c  water	4 tb water	1 ts salt	1 ts yeast	4 tb ten grain mix from grocery	or health food store	1 tb poppy seeds	1 tb sesame seeds	1/2 ts ginger	1 ts cinnamon	1 c  raisins (alternately,fold rest over flour or degress dark wish cherries blend help cups hours blend nuts moist or dozen level avoid blend form and granules shortening decrease tbsp that blend <EOS>, 1/2 c regular)",,,,,
hot italian loaf,main dish,4 servings,"2    eggs	1/4 c  ketchup	1 ts dried basil	1 ts leaf oregano	2    crushed garlic cloves	3/4 c  fine dry bread crumbs	1 lb medium ground beef	1 lb hot italian sausage	1/2 c  grated mozzarella cheese",fold rest over flour or combined blend cookie crumbs blend hot grease temperature over blend cookie crumbs blend form and x9 blend <EOS>,,,,
